lineup_id,country,channel_type,channel_id,dn_1,dn_2,dn_3,call_sign,channel_number,feed,network_base,city,region,brand_scope,resolution,final_display_name
10273,US,specialty,7099.stations.xmltv.tvmedia.ca,HBO Signature (HBO 3) - Eastern HD,HBO3,904,HBO3,904,,HBO Signature,,,,,
10273,US,specialty,7711.stations.xmltv.tvmedia.ca,HBO Signature (HBO 3) - Pacific HD,HBO3-HD,905,HBO3-HD,905,,HBO Signature,,,,,
10273,US,specialty,7104.stations.xmltv.tvmedia.ca,HBO Family - Eastern Feed HD,HBOF,906,HBOF,906,,HBO Family - Eastern Feed HD,,,,,
10273,US,specialty,7105.stations.xmltv.tvmedia.ca,HBO Comedy HD - East,HBOC,908,HBOC,908,,HBO Comedy HD - East,,,,,
10273,US,specialty,8469.stations.xmltv.tvmedia.ca,HBO Comedy HD - Pacific,HBOC,909,HBOC,909,,HBO Comedy HD - Pacific,,,,,
10273,US,specialty,7102.stations.xmltv.tvmedia.ca,HBO Zone HD - East,ZONE,910,ZONE,910,,HBO Zone HD - East,,,,,
10273,US,specialty,8470.stations.xmltv.tvmedia.ca,HBO Zone HD - Pacific,ZONE,911,ZONE,911,,HBO Zone HD - Pacific,,,,,
10273,US,specialty,7096.stations.xmltv.tvmedia.ca,HBO Latino (HBO 7) HD - Eastern,HBOL,912,HBOL,912,,HBO Latino,,,,,
10273,US,specialty,8471.stations.xmltv.tvmedia.ca,HBO Latino (HBO 7) HD - Pacific,HBOL,913,HBOL,913,,HBO Latino,,,,,
10273,US,specialty,3567.stations.xmltv.tvmedia.ca,Cinemax - Eastern HD,MAX1HD,920,MAX1HD,920,,Cinemax - Eastern HD,,,,,
10273,US,specialty,3568.stations.xmltv.tvmedia.ca,Cinemax - Pacific HD,MAX1HD,921,MAX1HD,921,,Cinemax - Pacific HD,,,,,
10273,US,specialty,7097.stations.xmltv.tvmedia.ca,MoreMax - Eastern HD,MAX2HD,922,MAX2HD,922,,MoreMax - Eastern HD,,,,,
10273,US,specialty,8472.stations.xmltv.tvmedia.ca,MoreMax - Pacific HD,MAX2HD,923,MAX2HD,923,,MoreMax - Pacific HD,,,,,
10273,US,specialty,7094.stations.xmltv.tvmedia.ca,ActionMax - Eastern HD,MAX3HD,924,MAX3HD,924,,ActionMax - Eastern HD,,,,,
10273,US,specialty,7100.stations.xmltv.tvmedia.ca,ThrillerMax - East HD,HBO4HD,926,HBO4HD,926,,ThrillerMax - East HD,,,,,
10273,US,specialty,7092.stations.xmltv.tvmedia.ca,Cinemáx HD,@MAX,929,,929,,Cinemáx HD,,,,,
10273,US,specialty,7093.stations.xmltv.tvmedia.ca,5 Star Max HD - Eastern,MAX5HD,930,MAX5HD,930,,5 Star Max HD - Eastern,,,,,
10273,US,specialty,2270.stations.xmltv.tvmedia.ca,OuterMax - Eastern,MAX7,931,MAX7,931,,OuterMax - Eastern,,,,,
10273,US,specialty,7538.stations.xmltv.tvmedia.ca,FOX Soccer Plus,FSP,1009,FSP,1009,,FOX Soccer Plus,,,,,
10273,US,specialty,11551.stations.xmltv.tvmedia.ca,FOX Soccer Plus HD,FSPHD,1010,FSPHD,1010,,FOX Soccer Plus HD,,,,,
10273,US,specialty,15433.stations.xmltv.tvmedia.ca,ESPN College Extra 2,ESPNCSE2,1011,ESPNCSE2,1011,,ESPN College Extra 2,,,,,
10273,US,specialty,15435.stations.xmltv.tvmedia.ca,ESPN College Extra 3,ESPNCSE3,1012,ESPNCSE3,1012,,ESPN College Extra 3,,,,,
10273,US,specialty,15437.stations.xmltv.tvmedia.ca,ESPN College Extra 4,ESPNCSE4,1013,ESPNCSE4,1013,,ESPN College Extra 4,,,,,
10273,US,specialty,15439.stations.xmltv.tvmedia.ca,ESPN College Extra 5,ESPNCSE5,1014,ESPNCSE5,1014,,ESPN College Extra 5,,,,,
10273,US,specialty,15441.stations.xmltv.tvmedia.ca,ESPN College Extra 6,ESPNCSE6,1015,ESPNCSE6,1015,,ESPN College Extra 6,,,,,
10273,US,specialty,7935.stations.xmltv.tvmedia.ca,MLS Direct Kick 1 HD,TEAMHD01,1450,TEAMHD01,1450,,MLS Direct Kick 1 HD,,,,,
10273,US,specialty,14492.stations.xmltv.tvmedia.ca,MLS Direct Kick 2 HD,TEAMHD02,1451,TEAMHD02,1451,,MLS Direct Kick 2 HD,,,,,
10273,US,specialty,14495.stations.xmltv.tvmedia.ca,MLS Direct Kick 3 HD,TEAMHD03,1452,TEAMHD03,1452,,MLS Direct Kick 3 HD,,,,,
10273,US,specialty,14497.stations.xmltv.tvmedia.ca,MLS Direct Kick 4 HD,TEAMHD04,1453,TEAMHD04,1453,,MLS Direct Kick 4 HD,,,,,
10273,US,specialty,14499.stations.xmltv.tvmedia.ca,MLS Direct Kick 5 HD,TEAMHD05,1454,TEAMHD05,1454,,MLS Direct Kick 5 HD,,,,,
10273,US,specialty,9617.stations.xmltv.tvmedia.ca,MLB Extra Innings 1 HD,GMHD1,1466,GMHD1,1466,,MLB Extra Innings 1 HD,,,,,
10273,US,specialty,9618.stations.xmltv.tvmedia.ca,MLB Extra Innings 2 HD,GMHD2,1467,GMHD2,1467,,MLB Extra Innings 2 HD,,,,,
10273,US,specialty,9619.stations.xmltv.tvmedia.ca,MLB Extra Innings 3 HD,GMHD3,1468,GMHD3,1468,,MLB Extra Innings 3 HD,,,,,
10273,US,specialty,9620.stations.xmltv.tvmedia.ca,MLB Extra Innings 4 HD,GMHD4,1469,GMHD4,1469,,MLB Extra Innings 4 HD,,,,,
10273,US,specialty,9621.stations.xmltv.tvmedia.ca,MLB Extra Innings 5 HD,GMHD5,1470,GMHD5,1470,,MLB Extra Innings 5 HD,,,,,
10273,US,specialty,9623.stations.xmltv.tvmedia.ca,MLB Extra Innings 6 HD,GMHD6,1471,GMHD6,1471,,MLB Extra Innings 6 HD,,,,,
10273,US,specialty,9622.stations.xmltv.tvmedia.ca,MLB Extra Innings 7 HD,GMHD7,1472,GMHD7,1472,,MLB Extra Innings 7 HD,,,,,
10273,US,specialty,9624.stations.xmltv.tvmedia.ca,MLB Extra Innings 8 HD,GMHD8,1473,GMHD8,1473,,MLB Extra Innings 8 HD,,,,,
